Fecha_Atencion,Adulto_NNA_NNAnA,Sexo,Fecha_Nacimiento,Edad,Pais_Origen,Departamento_Estado,Estado_Civil,Tipo_Poblacion,Hijos,Leer_Escribir,Grado_Estudio,Idiomas_Domina,Fecha_Salida_Pais_Origen,Viajo_Con_Alguien,Abuso_Derechos_Humanos_Antes_Mexico,Abuso_Derechos_Humanos_Al_Llegar_Mexico,Pago_Guia_Viajar,Fecha_Ingreso_Mexico,Ingreso_Mexico_Por,Destino_Final,Red_Apoyo_Mexico,Intento_Ingreso_EUA,Red_Apoyo_EUA,Estuvo_Estacion_Migratoria,Puso_Denuncia_Formal,Puede_Regresar_Pais,Tiene_Enfermedad,Padece_Alergia,Estuvo_Otro_Albergue_Mexico,Albergue_Casa_Monarca,Servicios_Brindados,Hospedado_Actualmente
2020-09-15,Niño no acompañado,Mujer,1994-01-03,56,Italia,Estado4,Divorciada / Divorciado,Refugiados,Si,Si,Preescolar,Frances,2023-06-22,No,Si,No,Si,2016-11-30,Chiapas,Regresar a mi país de origen,No,No,Si,No,No,No,No,Si,Si,No,Orientación a servicios prisológicos,No
2023-01-19,Adolescente no acompañado,Hombre,1963-10-15,46,Chad,Estado1,Soltero/Soltera,Tránsito,Si,Si,Preparatoria,Portuges,2023-12-20,Si,No,No,Si,2018-06-10,Palenque,Regresar a mi país de origen,No,Si,Si,Si,Si,Si,No,No,No,No,Orientación en el acceso a la educación,No
2020-11-18,Niño acompañado,Hombre,1993-09-26,21,Islas Salomón,Estado1,Viuda/Viudo,MPP,Si,No,Primaria,Garífona,2022-01-30,No,Si,Si,Si,2016-05-18,Tabasco,México,No,Si,No,Si,No,No,Si,No,Si,No,Acceso a higiene (Regadera),No
2020-06-16,Adolescente no acompañado,Mujer,1975-05-04,46,Cuba,Estado3,Separado/Separada,Refugiados,Si,No,Preescolar,Garífona,2023-12-22,Si,No,No,Si,2019-07-29,Matamoros,Regresar a mi país de origen,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Orientación para acceder a servicios de salud,No
2023-01-25,Adolescente acompañado,Mujer,1989-12-27,58,Belice,Estado2,Viuda/Viudo,Tránsito,No,No,Sin escolarizar,Español,2021-07-09,No,Si,No,No,2019-03-13,Tabasco,Regresar a mi país de origen,No,No,Si,No,No,Si,Si,No,No,No,Orientación en el acceso a la educación,No
2021-11-10,Niña no acompañada,Hombre,1965-09-11,58,Israel,Estado4,Casado/Casada,Retornados,No,No,Licenciatura,Inglés,2019-02-06,Si,No,Si,Si,2021-08-14,Tapachula,Estados Unidos,No,No,Si,Si,No,Si,Si,Si,No,Si,Orientación en búsqueda de empleo,Si
2023-12-11,Niña acompañada,Hombre,1961-10-17,53,Irlanda,Estado2,Soltero/Soltera,Retornados,Si,Si,Bachillerato Técnico,Portuges,2017-07-16,Si,Si,Si,Si,2022-09-18,Tabasco,México,Si,Si,No,No,Si,Si,Si,Si,No,No,Agua y alimento,No
2021-03-24,Adolescente acompañado,Mujer,1963-01-05,37,Austria,Estado1,Casado/Casada,Refugiados,No,Si,Primaria,Frances,2015-10-16,No,Si,No,Si,2020-10-18,Palenque,Estados Unidos,No,No,Si,Si,Si,Si,Si,No,No,No,Ropa y calzado,No
2021-01-13,Niña acompañada,Mujer,1998-06-14,56,Estonia,Estado2,Casado/Casada,Retornados,Si,No,Licenciatura,Portuges,2016-02-04,No,No,Si,No,2022-01-30,Tenosoique,México,No,No,No,No,Si,Si,No,Si,No,No,Orientación en el acceso a la educación,No
2020-11-22,Niño no acompañado,Hombre,2008-02-24,24,Ciudad del Vaticano,Estado1,Union Libre,Desplazados Internos,Si,Si,Licenciatura,Garífona,2022-03-06,No,Si,No,Si,2016-05-13,Reynosa,México,No,No,Si,No,No,Si,Si,Si,No,No,Orientación en el acceso a la educación,No
2021-10-08,Niño acompañado,Mujer,1979-01-15,15,Camboya,Estado2,Divorciada / Divorciado,Refugiados,Si,No,Licenciatura,Español,2018-03-25,Si,No,No,Si,2017-02-06,Tenosoique,Regresar a mi país de origen,No,Si,Si,Si,Si,Si,Si,Si,No,No,Atención psicosocial,No
2023-10-03,Adulto,Hombre,2002-12-21,53,Dinamarca,Estado3,Union Libre,Tránsito,Si,No,Licenciatura,Inglés,2019-03-10,No,No,No,No,2021-06-22,Matamoros,Estados Unidos,Si,Si,Si,Si,No,No,No,No,Si,No,Canalización a servicios pricológicos,No
2021-09-16,Adolescente no acompañado,Hombre,2003-02-16,29,Gambia,Estado5,Soltero/Soltera,Refugiados,Si,Si,Licenciatura,Frances,2017-01-16,No,Si,No,Si,2018-03-08,Tenosoique,Regresar a mi país de origen,Si,No,No,Si,No,No,Si,No,No,Si,Asesoría legal,No
2023-08-09,Niño acompañado,Hombre,1980-11-27,59,Granada,Estado3,Casado/Casada,MPP,No,No,Primaria,Portuges,2015-10-31,Si,Si,Si,No,2017-11-09,Chetumal,Regresar a mi país de origen,Si,Si,No,Si,Si,Si,Si,No,Si,Si,Orientación en el acceso a la educación,No
2020-01-05,Adolescente acompañado,Hombre,2004-11-21,23,Islandia,Estado3,Separado/Separada,Refugiados,No,No,Sin escolarizar,Frances,2022-05-30,No,Si,No,No,2020-12-29,Reynosa,Regresar a mi país de origen,Si,No,Si,No,No,Si,Si,Si,No,Si,Alimento,No
2023-11-04,Niña acompañada,Hombre,1973-12-13,11,Camboya,Estado5,Casado/Casada,Retornados,No,Si,Preparatoria,Garífona,2019-08-21,No,Si,Si,No,2020-08-27,Tapachula,México,No,No,Si,Si,No,Si,No,Si,No,Si,Atención psicosocial,No
2023-12-20,Adolescente no acompañado,Mujer,1976-08-02,18,India,Estado5,Separado/Separada,Retornados,No,Si,Secundaria,Frances,2021-03-12,No,No,No,No,2020-09-02,Reynosa,Estados Unidos,No,No,Si,No,No,No,Si,No,Si,Si,Kit de higiene,No
2023-05-02,Niña acompañada,Mujer,2009-03-17,46,Bosnia y Herzegovina,Estado4,Union Libre,Desplazados Internos,Si,No,Licenciatura,Español,2019-09-17,Si,Si,No,Si,2016-04-25,Chetumal,Estados Unidos,No,Si,No,Si,Si,Si,No,No,Si,No,Agua y alimento,Si
2022-09-24,Niña no acompañada,Mujer,1981-03-22,29,Estonia,Estado4,Union Libre,Desplazados Internos,No,No,Licenciatura,Frances,2023-10-11,Si,Si,Si,No,2016-12-28,Veracruz,Regresar a mi país de origen,Si,Si,No,Si,No,Si,Si,No,Si,Si,Orientación a servicios prisológicos,No
2022-10-25,Niña acompañada,Mujer,1979-12-14,35,Estonia,Estado3,Divorciada / Divorciado,Desplazados Internos,Si,Si,Secundaria,Criollo Haitiano,2016-09-24,Si,Si,No,No,2015-10-18,Tenosoique,México,Si,No,Si,Si,Si,Si,No,No,Si,Si,Orientación para acceder a servicios de salud,No
2023-03-07,Niña no acompañada,Hombre,1991-08-19,38,Kuwait,Estado3,Casado/Casada,Tránsito,No,No,Sin escolarizar,Español,2019-03-28,No,No,Si,Si,2019-09-08,Reynosa,Estados Unidos,Si,Si,No,Si,No,No,Si,No,No,Si,Agua y alimento,No
2021-05-10,Niño no acompañado,Hombre,1991-08-13,10,Bulgaria,Estado1,Viuda/Viudo,Desplazados Internos,No,No,Sin escolarizar,Portuges,2017-11-11,Si,Si,Si,Si,2022-10-02,Tabasco,Estados Unidos,No,No,No,Si,Si,No,Si,Si,No,Si,Acceso a higiene (Regadera),No
2022-03-16,Adolescente no acompañado,Hombre,1986-03-29,44,Eslovenia,Estado1,Union Libre,Tránsito,No,Si,Primaria,Inglés,2018-07-08,No,No,No,Si,2017-01-04,Tapachula,Regresar a mi país de origen,No,Si,No,No,No,No,Si,No,Si,Si,Orientación a servicios prisológicos,No
2023-06-09,Adolescente no acompañado,Hombre,1993-06-19,15,Comoras,Estado4,Union Libre,Desplazados Internos,No,Si,Preescolar,Inglés,2020-08-28,No,Si,No,No,2022-05-11,Chiapas,México,Si,Si,No,Si,Si,Si,No,Si,Si,Si,Ropa y calzado,No
2020-11-01,Adulto,Mujer,1969-03-31,46,Ciudad del Vaticano,Estado4,Divorciada / Divorciado,Tránsito,Si,Si,Bachillerato Técnico,Garífona,2021-03-25,No,No,No,Si,2017-12-30,Matamoros,Regresar a mi país de origen,Si,Si,Si,No,Si,Si,Si,Si,No,Si,Kit de higiene,No
2023-02-10,Adolescente acompañado,Hombre,1991-07-23,14,China,Estado1,Separado/Separada,Refugiados,No,Si,Bachillerato Técnico,Garífona,2019-12-31,Si,Si,No,No,2023-12-13,Matamoros,Estados Unidos,No,No,Si,Si,No,No,Si,Si,No,Si,Orientación a servicios prisológicos,No
2023-11-15,Niña no acompañada,Hombre,2007-06-19,42,Islandia,Estado1,Divorciada / Divorciado,Refugiados,No,Si,Preescolar,Criollo Haitiano,2022-08-07,Si,Si,Si,No,2020-12-14,Matamoros,México,No,No,No,No,No,Si,No,Si,Si,Si,Alimento,No
2022-03-03,Adulto,Mujer,1977-02-18,58,Cuba,Estado2,Casado/Casada,Retornados,Si,Si,Primaria,Portuges,2019-06-25,No,No,No,Si,2023-10-16,Reynosa,Regresar a mi país de origen,No,No,No,Si,No,No,No,No,No,No,Canalización a servicios pricológicos,No
2021-03-27,Niña acompañada,Mujer,2007-08-20,23,Barbados,Estado2,Soltero/Soltera,Tránsito,Si,No,Bachillerato Técnico,Inglés,2019-10-19,No,Si,No,Si,2020-12-14,Tenosoique,Estados Unidos,Si,Si,No,Si,No,No,No,Si,No,Si,Acceso a higiene (Regadera),No
2020-01-28,Niña acompañada,Mujer,1995-12-29,21,Kuwait,Estado1,Soltero/Soltera,MPP,No,No,Sin escolarizar,Inglés,2022-03-19,Si,Si,No,Si,2016-08-14,Reynosa,Regresar a mi país de origen,Si,No,Si,Si,Si,Si,Si,No,Si,Si,Ropa y calzado,No
2023-12-21,Adulto,Mujer,1983-08-17,51,Ghana,Estado2,Separado/Separada,Retornados,Si,Si,Secundaria,Inglés,2021-09-20,Si,Si,No,Si,2018-04-23,Palenque,Regresar a mi país de origen,Si,No,Si,No,No,Si,No,Si,Si,No,Orientación para acceder a servicios de salud,No
2023-10-15,Adolescente no acompañado,Hombre,1968-08-18,29,Ghana,Estado5,Union Libre,Refugiados,Si,Si,Preescolar,Inglés,2017-02-17,Si,No,No,Si,2016-04-07,Tabasco,Regresar a mi país de origen,Si,No,No,No,Si,Si,Si,No,Si,No,Orientación en el acceso a la educación,No
2023-10-25,Niña acompañada,Hombre,1967-11-01,59,Kuwait,Estado4,Separado/Separada,Tránsito,Si,No,Sin escolarizar,Frances,2023-08-15,No,Si,Si,Si,2020-11-18,Chiapas,México,No,No,No,Si,No,Si,No,No,Si,Si,Orientación para acceder a servicios de salud,No
2022-11-06,Niño no acompañado,Mujer,1968-06-18,33,Fiyi,Estado4,Union Libre,Desplazados Internos,No,No,Preparatoria,Portuges,2021-10-07,Si,No,No,No,2016-07-27,Chiapas,Estados Unidos,No,Si,No,Si,Si,No,No,Si,No,Si,Orientación en la búsqueda de vivienda,No
2022-04-26,Niño no acompañado,Hombre,1994-11-09,52,Guyana,Estado1,Union Libre,MPP,Si,No,Primaria,Español,2021-07-22,Si,No,Si,No,2019-01-18,Tabasco,Estados Unidos,No,Si,No,Si,Si,No,Si,No,Si,Si,Orientación en el acceso a la educación,No
2022-02-09,Adulto,Hombre,1982-04-02,43,Irlanda,Estado3,Soltero/Soltera,Refugiados,No,Si,Preescolar,Español,2021-10-23,Si,No,No,Si,2019-01-23,Chetumal,Estados Unidos,Si,No,Si,No,Si,No,Si,Si,No,No,Orientación en la búsqueda de vivienda,No
2022-06-17,Niña no acompañada,Hombre,1979-06-03,34,Angola,Estado1,Separado/Separada,Retornados,No,Si,Bachillerato Técnico,Criollo Haitiano,2016-05-30,No,Si,No,No,2021-02-17,Palenque,Estados Unidos,No,Si,Si,Si,No,No,Si,No,No,Si,Alimento,No
2020-12-30,Niña no acompañada,Mujer,1960-04-10,59,Albania,Estado2,Divorciada / Divorciado,Tránsito,No,No,Primaria,Frances,2023-02-10,Si,No,No,No,2021-11-14,Tapachula,México,No,Si,Si,No,No,No,Si,Si,No,No,Alimento,No
2023-11-18,Adulto,Hombre,1981-08-26,38,Birmania (Myanmar),Estado3,Union Libre,MPP,No,Si,Secundaria,Inglés,2019-09-03,No,No,Si,No,2021-05-18,Chiapas,Regresar a mi país de origen,No,Si,Si,Si,Si,No,No,Si,No,No,Orientación legal,No
2022-10-23,Niña no acompañada,Mujer,1991-08-30,48,Eslovaquia,Estado2,Viuda/Viudo,Tránsito,Si,Si,Primaria,Inglés,2018-09-03,No,Si,No,No,2019-04-04,Matamoros,Estados Unidos,No,Si,Si,No,Si,Si,No,No,Si,No,Orientación en el acceso a la educación,No
2022-07-06,Adolescente no acompañado,Hombre,1974-12-14,40,Francia,Estado5,Viuda/Viudo,Desplazados Internos,No,Si,Primaria,Garífona,2020-04-26,No,No,Si,No,2018-10-01,Reynosa,México,No,Si,Si,No,Si,No,No,No,No,No,Acceso a higiene (Regadera),No
2021-02-03,Adolescente no acompañado,Hombre,1963-10-09,56,Guyana,Estado2,Divorciada / Divorciado,Retornados,Si,No,Secundaria,Garífona,2015-12-01,Si,No,Si,No,2018-07-01,Chetumal,Regresar a mi país de origen,Si,No,No,No,Si,Si,Si,Si,Si,No,Orientación en la búsqueda de vivienda,Si
2021-01-31,Niña no acompañada,Hombre,1995-05-14,52,Kuwait,Estado5,Viuda/Viudo,Tránsito,No,No,Licenciatura,Criollo Haitiano,2020-04-10,Si,Si,No,Si,2018-10-24,Tabasco,México,No,Si,No,Si,Si,Si,Si,Si,No,Si,Orientación en la búsqueda de vivienda,No
2022-03-02,Niño no acompañado,Mujer,1985-12-20,59,Bangladés,Estado5,Casado/Casada,Refugiados,Si,Si,Secundaria,Inglés,2021-08-01,Si,Si,Si,Si,2016-12-18,Veracruz,México,No,No,Si,No,No,No,No,No,Si,Si,Asesoría legal,No
2021-08-15,Niña no acompañada,Hombre,2004-03-18,32,Dominica,Estado2,Union Libre,Retornados,No,Si,Sin escolarizar,Criollo Haitiano,2021-02-20,No,No,No,Si,2015-10-13,Tapachula,Estados Unidos,Si,No,Si,Si,Si,No,No,Si,No,No,Kit de higiene,No
2020-04-24,Adolescente no acompañado,Mujer,1987-08-16,53,China,Estado2,Divorciada / Divorciado,Refugiados,Si,Si,Primaria,Frances,2023-10-01,Si,Si,No,No,2018-07-26,Matamoros,Estados Unidos,Si,No,Si,No,No,Si,Si,Si,No,No,Ropa y calzado,No
2021-09-27,Niño acompañado,Mujer,1972-10-28,47,Islandia,Estado5,Separado/Separada,Tránsito,No,Si,Secundaria,Español,2023-01-20,No,Si,Si,Si,2023-01-03,Chiapas,Regresar a mi país de origen,No,Si,No,Si,No,Si,No,Si,Si,No,Kit de higiene,Si
2020-06-21,Adolescente acompañado,Mujer,1966-06-05,29,Guinea-Bisáu,Estado3,Union Libre,Retornados,No,Si,Licenciatura,Inglés,2023-10-05,Si,Si,No,Si,2015-01-31,Reynosa,Regresar a mi país de origen,No,Si,No,No,No,No,No,No,Si,No,Orientación para acceder a servicios de salud,Si
2023-09-02,Niña acompañada,Hombre,1998-12-21,32,Islas Salomón,Estado5,Divorciada / Divorciado,Refugiados,Si,No,Sin escolarizar,Portuges,2020-02-26,Si,No,No,Si,2019-03-12,Tabasco,Estados Unidos,No,Si,No,No,Si,No,No,Si,Si,Si,Agua y alimento,No
2023-02-16,Niño acompañado,Hombre,2003-05-07,54,Chipre,Estado4,Soltero/Soltera,Desplazados Internos,No,Si,Preescolar,Frances,2023-08-19,Si,No,Si,No,2015-08-17,Tapachula,México,No,Si,No,Si,Si,Si,Si,Si,Si,No,Kit de higiene,Si
2020-11-19,Niña no acompañada,Hombre,1968-03-05,25,Chile,Estado5,Separado/Separada,Desplazados Internos,No,Si,Secundaria,Inglés,2015-06-21,Si,Si,Si,Si,2019-06-25,Veracruz,Estados Unidos,Si,No,Si,Si,Si,No,No,No,No,No,Orientación en la búsqueda de vivienda,No
2020-02-16,Niño no acompañado,Hombre,2009-10-27,59,Estados Unidos,Estado3,Soltero/Soltera,Tránsito,No,Si,Secundaria,Portuges,2019-12-07,No,No,Si,No,2023-04-05,Chetumal,Regresar a mi país de origen,No,No,No,No,Si,No,Si,Si,No,Si,Ropa y calzado,No
2023-05-08,Adulto,Mujer,1976-11-23,51,España,Estado4,Union Libre,Retornados,Si,No,Primaria,Garífona,2020-07-29,No,Si,Si,Si,2020-11-01,Chiapas,México,Si,No,Si,No,No,No,No,Si,No,Si,Ropa y calzado,No
2022-10-30,Niña no acompañada,Mujer,1993-10-22,17,Armenia,Estado1,Separado/Separada,MPP,No,No,Sin escolarizar,Criollo Haitiano,2016-08-06,No,Si,Si,Si,2016-02-12,Reynosa,México,No,Si,No,Si,No,No,Si,Si,No,Si,Kit de higiene,Si
2022-06-05,Niño no acompañado,Mujer,1973-05-10,59,Laos,Estado1,Viuda/Viudo,Retornados,No,Si,Preescolar,Garífona,2022-11-21,No,Si,Si,Si,2023-12-18,Matamoros,México,No,No,No,No,No,No,No,Si,No,Si,Canalización a servicios pricológicos,No
2022-12-26,Adolescente acompañado,Hombre,1980-01-08,30,Finlandia,Estado3,Divorciada / Divorciado,Desplazados Internos,Si,No,Preparatoria,Español,2017-08-29,Si,Si,No,No,2019-11-15,Tabasco,Estados Unidos,No,No,No,No,Si,Si,No,No,Si,No,Asesoría legal,No
2020-09-08,Niña no acompañada,Mujer,1994-09-08,10,Filipinas,Estado5,Union Libre,Refugiados,Si,No,Preparatoria,Garífona,2017-11-07,No,Si,Si,No,2022-10-27,Tabasco,Estados Unidos,Si,No,No,Si,Si,No,No,Si,Si,No,Agua y alimento,Si
2020-02-10,Adolescente no acompañado,Hombre,1993-01-20,17,Cuba,Estado2,Casado/Casada,MPP,Si,No,Bachillerato Técnico,Inglés,2021-11-10,No,No,Si,No,2019-01-18,Chetumal,Regresar a mi país de origen,No,Si,Si,Si,Si,No,Si,Si,No,No,Canalización a servicios pricológicos,No
2023-04-14,Adulto,Mujer,1967-01-26,38,Finlandia,Estado3,Separado/Separada,Tránsito,Si,No,Secundaria,Portuges,2022-02-24,No,No,No,No,2017-01-26,Tenosoique,México,No,No,Si,Si,Si,Si,No,Si,Si,No,Atención psicosocial,No
2021-08-12,Niño no acompañado,Hombre,1969-05-22,41,Cabo Verde,Estado4,Separado/Separada,MPP,Si,No,Secundaria,Garífona,2022-04-07,Si,No,No,No,2016-05-13,Tenosoique,México,Si,No,Si,No,Si,Si,No,Si,No,No,Agua y alimento,No
2022-12-31,Niño no acompañado,Hombre,1992-02-27,47,Arabia Saudita,Estado4,Union Libre,Tránsito,No,No,Preescolar,Inglés,2022-09-21,No,No,Si,Si,2023-05-10,Matamoros,Estados Unidos,No,Si,Si,No,Si,No,Si,Si,No,No,Agua y alimento,No
2022-02-02,Niño no acompañado,Mujer,2002-02-11,14,Bielorrusia,Estado1,Union Libre,MPP,No,Si,Licenciatura,Español,2017-06-02,No,Si,Si,Si,2021-12-24,Veracruz,Regresar a mi país de origen,Si,No,Si,No,No,No,Si,No,Si,No,Orientación legal,No
2021-03-08,Adolescente acompañado,Mujer,2002-04-08,56,Benín,Estado4,Soltero/Soltera,Tránsito,No,No,Preparatoria,Portuges,2019-09-23,Si,Si,No,No,2020-10-19,Tabasco,Regresar a mi país de origen,No,Si,Si,Si,No,Si,No,No,No,No,Agua y alimento,No
2022-06-02,Niña no acompañada,Mujer,1999-02-27,31,Brasil,Estado3,Viuda/Viudo,Tránsito,Si,No,Bachillerato Técnico,Garífona,2022-09-11,Si,No,Si,No,2015-06-14,Tabasco,México,Si,No,Si,No,Si,No,No,Si,Si,No,Atención psicosocial,No
2022-08-23,Adolescente acompañado,Mujer,1982-01-07,56,Gambia,Estado4,Soltero/Soltera,MPP,No,Si,Preescolar,Criollo Haitiano,2019-04-04,No,No,Si,Si,2017-11-05,Tabasco,Estados Unidos,Si,Si,No,Si,No,No,No,Si,No,Si,Orientación legal,No
2022-05-04,Niña acompañada,Hombre,1997-09-02,43,Islandia,Estado3,Soltero/Soltera,MPP,Si,Si,Secundaria,Criollo Haitiano,2017-09-28,No,Si,No,No,2023-02-16,Chetumal,México,Si,Si,Si,Si,No,No,No,No,Si,No,Orientación en el acceso a la educación,No
2023-11-13,Niña acompañada,Mujer,1992-08-18,10,Bahréin,Estado2,Viuda/Viudo,Tránsito,Si,Si,Preparatoria,Portuges,2016-12-04,Si,Si,Si,Si,2019-08-20,Tenosoique,Estados Unidos,No,Si,No,No,No,Si,No,No,No,Si,Agua y alimento,No
2022-12-25,Niña no acompañada,Mujer,2003-09-08,35,Irlanda,Estado1,Casado/Casada,Desplazados Internos,No,Si,Sin escolarizar,Criollo Haitiano,2016-03-12,No,Si,No,No,2018-04-21,Palenque,Regresar a mi país de origen,Si,No,Si,Si,No,No,Si,No,No,Si,Orientación para acceder a servicios de salud,No
2023-07-31,Adolescente no acompañado,Mujer,2000-08-10,52,Honduras,Estado4,Soltero/Soltera,MPP,Si,No,Bachillerato Técnico,Garífona,2020-07-04,Si,No,Si,Si,2017-10-24,Tapachula,México,Si,No,No,No,Si,No,No,Si,Si,Si,Orientación a servicios prisológicos,No
2023-02-08,Adolescente acompañado,Hombre,2009-09-22,19,Islandia,Estado3,Soltero/Soltera,Retornados,Si,No,Primaria,Garífona,2020-12-26,No,Si,No,No,2018-10-09,Chetumal,México,No,Si,Si,Si,No,Si,Si,Si,No,Si,Ropa y calzado,No
2021-12-22,Adulto,Hombre,1978-01-26,39,Japón,Estado5,Separado/Separada,Refugiados,No,No,Preparatoria,Portuges,2020-08-27,No,Si,No,No,2015-10-29,Chiapas,México,Si,Si,No,Si,Si,No,Si,Si,No,No,Agua y alimento,No
2022-06-26,Niño no acompañado,Mujer,2000-10-03,59,Bahamas,Estado1,Viuda/Viudo,Tránsito,Si,No,Bachillerato Técnico,Garífona,2016-06-02,No,No,No,Si,2020-01-18,Veracruz,Regresar a mi país de origen,No,Si,Si,Si,Si,No,No,Si,Si,Si,Agua y alimento,No
2023-07-20,Niño no acompañado,Hombre,1998-09-26,27,Brunéi,Estado2,Divorciada / Divorciado,Tránsito,Si,Si,Preescolar,Inglés,2017-05-15,No,No,Si,Si,2020-07-11,Veracruz,México,No,Si,Si,No,No,No,Si,Si,Si,Si,Atención psicosocial,No
2023-02-15,Niña no acompañada,Mujer,1981-12-07,26,Chipre,Estado3,Casado/Casada,Refugiados,No,No,Primaria,Español,2019-10-29,No,No,No,No,2022-01-24,Tapachula,Regresar a mi país de origen,Si,Si,Si,Si,Si,No,No,Si,Si,No,Orientación legal,No
2022-01-27,Adolescente no acompañado,Hombre,1961-01-10,35,Eslovenia,Estado2,Casado/Casada,Desplazados Internos,Si,No,Bachillerato Técnico,Criollo Haitiano,2019-12-02,Si,Si,Si,No,2015-07-20,Veracruz,Estados Unidos,Si,Si,Si,No,No,Si,Si,No,No,Si,Orientación en búsqueda de empleo,No
2023-03-22,Niña acompañada,Hombre,1978-05-14,17,Bulgaria,Estado2,Viuda/Viudo,Refugiados,Si,Si,Bachillerato Técnico,Inglés,2022-10-12,Si,Si,No,Si,2018-08-26,Veracruz,Regresar a mi país de origen,No,Si,No,Si,Si,Si,Si,No,Si,No,Asesoría legal,No
2023-09-12,Niña acompañada,Hombre,1976-01-02,56,Brasil,Estado4,Union Libre,MPP,No,No,Secundaria,Portuges,2015-12-02,No,No,No,No,2016-12-14,Palenque,Estados Unidos,Si,Si,Si,Si,Si,No,No,Si,Si,No,Orientación en búsqueda de empleo,No
2022-08-06,Niño no acompañado,Hombre,1978-12-03,49,Filipinas,Estado4,Union Libre,Refugiados,No,No,Licenciatura,Criollo Haitiano,2022-11-09,No,Si,No,Si,2017-09-17,Veracruz,Regresar a mi país de origen,Si,Si,Si,Si,No,No,No,Si,Si,No,Acceso a higiene (Regadera),No
2020-09-18,Niña no acompañada,Mujer,1971-12-25,58,Francia,Estado3,Separado/Separada,Tránsito,No,No,Preparatoria,Inglés,2016-03-04,No,Si,Si,Si,2022-11-03,Tabasco,Regresar a mi país de origen,Si,Si,No,No,No,No,Si,Si,No,No,Atención psicosocial,No
2021-06-19,Adolescente acompañado,Mujer,2005-10-03,21,Botsuana,Estado5,Separado/Separada,Refugiados,No,No,Secundaria,Garífona,2020-04-05,Si,Si,Si,No,2020-10-21,Chetumal,México,Si,Si,Si,No,Si,No,No,No,Si,Si,Ropa y calzado,No
2021-03-08,Niña acompañada,Mujer,1999-07-24,36,Alemania,Estado3,Viuda/Viudo,Retornados,Si,Si,Sin escolarizar,Portuges,2023-07-29,Si,No,No,Si,2015-09-16,Tenosoique,Regresar a mi país de origen,No,Si,No,No,No,Si,No,No,No,No,Orientación en la búsqueda de vivienda,No
2022-10-17,Adolescente acompañado,Hombre,1961-01-31,17,Grecia,Estado5,Separado/Separada,MPP,Si,Si,Primaria,Portuges,2021-02-13,Si,No,Si,Si,2020-03-21,Veracruz,México,No,No,No,No,Si,Si,Si,No,No,Si,Atención psicosocial,No
2020-10-20,Adolescente no acompañado,Mujer,1990-03-09,34,Corea del Norte,Estado2,Casado/Casada,Refugiados,No,Si,Licenciatura,Criollo Haitiano,2022-11-15,Si,Si,Si,No,2021-09-17,Matamoros,Estados Unidos,Si,Si,Si,No,No,Si,Si,No,Si,Si,Agua y alimento,No
2021-08-01,Niña acompañada,Mujer,1966-03-20,55,Kiribati,Estado1,Casado/Casada,Tránsito,Si,Si,Bachillerato Técnico,Garífona,2018-10-15,Si,Si,Si,Si,2017-04-05,Matamoros,Estados Unidos,No,No,Si,Si,Si,No,Si,Si,No,No,Canalización a servicios pricológicos,No
2021-03-03,Niña acompañada,Mujer,1977-05-02,13,Colombia,Estado3,Divorciada / Divorciado,MPP,Si,Si,Secundaria,Criollo Haitiano,2019-03-28,Si,Si,No,Si,2020-07-27,Matamoros,México,Si,No,No,Si,Si,No,No,No,No,Si,Asesoría legal,No
2022-02-10,Niño acompañado,Hombre,1991-08-29,42,Laos,Estado3,Union Libre,Tránsito,No,No,Licenciatura,Frances,2023-03-02,Si,Si,Si,Si,2021-01-08,Veracruz,Estados Unidos,Si,No,Si,No,Si,No,No,No,No,No,Acceso a higiene (Regadera),No
2020-07-08,Niña acompañada,Hombre,1991-11-19,10,Antigua y Barbuda,Estado5,Viuda/Viudo,Desplazados Internos,No,No,Sin escolarizar,Inglés,2017-10-28,Si,No,No,Si,2023-11-01,Chiapas,Regresar a mi país de origen,Si,Si,No,No,Si,Si,No,Si,No,Si,Orientación a servicios prisológicos,No
2021-08-20,Adulto,Hombre,1976-02-26,28,China,Estado2,Soltero/Soltera,Retornados,Si,Si,Preparatoria,Frances,2020-10-14,No,No,No,No,2016-05-09,Tabasco,México,Si,No,Si,No,Si,Si,Si,Si,No,Si,Acceso a higiene (Regadera),No
2022-03-12,Niña no acompañada,Mujer,2003-08-13,40,Ecuador,Estado2,Union Libre,Desplazados Internos,No,Si,Sin escolarizar,Inglés,2016-08-16,Si,Si,No,Si,2017-12-12,Reynosa,México,No,Si,Si,No,No,Si,No,Si,Si,Si,Atención psicosocial,Si
2022-11-28,Niña no acompañada,Mujer,2006-10-19,25,Bolivia,Estado5,Soltero/Soltera,Retornados,No,Si,Primaria,Español,2016-01-30,Si,Si,Si,No,2020-12-21,Veracruz,México,Si,No,No,Si,Si,Si,Si,No,Si,Si,Canalización a servicios pricológicos,No
2020-12-10,Adolescente acompañado,Mujer,1966-06-15,23,Israel,Estado2,Divorciada / Divorciado,Refugiados,No,No,Preescolar,Portuges,2023-09-28,Si,No,No,Si,2019-12-17,Chiapas,Estados Unidos,No,Si,Si,No,No,Si,Si,Si,Si,No,Asesoría legal,No
